V(V);I(A);t_total;description
4,163;0;0;Inicial
4,01;1;0;Fechamento
3,97;0,96;1;Descarga
3,94;0,95;2;Descarga
3,93;0,94;3;Descarga
3,9;0,94;4;Descarga
3,87;0,93;5;Descarga
3,95;0;5;Abertura
4,007;0;6;Regeneração
4,014;0;7;Regeneração
4,017;0;8;Regeneração
3,99;0,97;8;Fechamento
3,85;0,85;9;Descarga
3,82;0,85;10;Descarga
3,8;0,85;11;Descarga
3,78;0,99;12;Descarga
3,76;0,89;13;Descarga
3,84;0;13;Abertura
3,905;0;14;Regeneração
3,913;0;15;Regeneração
3,91;0;16;Regeneração
3,82;0,95;16;Fechamento
3,75;0,89;17;Descarga
3,73;0,91;18;Descarga
3,71;0,89;19;Descarga
3,7;0,87;20;Descarga
3,69;0,88;21;Descarga
3,76;0;21;Abertura
3,824;0;22;Regeneração
3,832;0;23;Regeneração
3,83;0;24;Regeneração
3,74;0,88;24;Fechamento
3,69;0,83;25;Descarga
3,68;0,79;26;Descarga
3,66;0,82;27;Descarga
3,65;0,8;28;Descarga
3,65;0,8;29;Descarga
3,72;0;29;Abertura
3,77;0;30;Regeneração
3,782;0;31;Regeneração
3,78;0,85;31;Fechamento
3,64;0,79;32;Descarga
3,64;0,76;33;Descarga
3,63;0,75;34;Descarga
3,63;0,74;35;Descarga
3,69;0;35;Abertura
3,76;0;36;Regeneração
3,67;0,75;36;Fechamento
3,57;0,76;37;Descarga
3,64;0;37;Abertura
3,64;0;38;Regeneração
3,65;0,81;38;Fechamento
3,44;0,73;39;Descarga
3,52;0;39;Abertura
3,63;0;40;Regeneração
3,53;0,83;40;Fechamento
2,93;0,61;41;Descarga
3,06;0;41;Abertura
